,questions,answer,doc_page,doc_content,doc_source,label
24,เมื่อเซ็นเซอร์จอดรถตรวจจับวัตถุดังต่อไปนี้ไม่ได้ จะเกิดอะไรขึ้น?,หากเซ็นเซอร์จอดรถไม่สามารถตรวจจับวัตถุได้ อาจเกิดความไม่ปลอดภัยในการขับขี่ เนื่องจากไม่สามารถตรวจจับรถหรือวัตถุที่อยู่ใกล้เคียงได้ ซึ่งอาจทำให้เกิดการชนกับรถหรือวัตถุที่ไม่ได้ตรวจจับ ซึ่งอาจส่งผลให้เกิดการบาดเจ็บหรือเสียชีวิตได้,257,24UT(THAI) _T00UMA000P_OM_THAI.indb 90  22/3/2566 11:36:39  223 6-91 การสตาร์ทเครื่องยนต์และการขับขี่  เซ็นเซอร์จอดรถ (หน้า/หลัง)* 6   คําเตือน     • เมื่อบริเวณเซ็นเซอร์ส่วนหนึ่งเป็นนํ้าแข็ง การแสดง ความคลาดเคลื่อนจะปรากฏขึ้น และเซ็นเซอร์จอด รถอาจตรวจจับสิ่งกีดขวาง เช่น กําแพงไม่ได้แม้ว่า ปรากฏอยู่ก็ตาม (การทํางานจะกลับไปเป็นปกติหลัง จากนํ้าแข็งละลาย)     • ระบบเซ็นเซอร์จอดรถอาจตรวจจับวัตถุดังต่อไปนี้ ไม่ได้:    o คนเดินถนนที่เข้าใกล้รถจากด้านข้าง    o วัตถุที่วางใกล้รถ     • ระบบเซ็นเซอร์จอดรถอาจไม่ทํางานในสภาพ ดังต่อไปนี้:    o เมื่อนํ้าฝน หิมะ นํ้าแข็ง สิ่งสกปรก ฯลฯ เกาะอยู่,docs/Text_PDF_.pdf,"['T00UMA000P_OM_THAI.indb', 'T00UMA000P_OM_', '_T00UMA000P_OM_', 'หลัง', '113639']"
25,ถ้าไฟไม่ดับหลังจากเครื่องยนต์สตาร์ท ควรทำอย่างไร?,"หากไฟไม่ดับหลังจากเครื่องยนต์สตาร์ท คุณสามารถทำตามขั้นตอนต่อไปนี้:

1. บิดสวิตช์กุญแจกลับไปยังตำแหน่ง ""LOCK"" แล้วบิดสวิตช์ไปที่ตำแหน่ง ""ON"" เพื่อเผาหัวอีกครั้ง
2. หากเครื่องยนต์ยังไม่สตาร์ทภายใน 5 วินาที ให้บิดสวิตช์กุญแจไปที่ตำแหน่ง ""START"" โดยไม่ต้องเหยียบคันเร่ง และปล่อยสวิตช์กุญแจเมื่อเครื่องยนต์สตาร์ทติด

หากทำตามขั้นตอนดังกล่าวแล้วเครื่องยนต์ยังไม่สตาร์ท อาจมีปัญหาในระบบการชาร์จไฟ ให้จอดรถในที่ปลอดภัยทันทีและนำรถเข้ารับการตรวจสอบที่ศูนย์บริการที่ได้รับอนุญาตที่ใกล้ที่สุด",127,วิเคราะห์ป้ญหาของเครื่องยนต์ซึ่งคอย ควบคุมการปล่อยไอเสีย ระบบควบคุม เครื่องยนต์ หรือระบบควบคุม A/T ถ้าตรวจพบป้ญหาขึ้นในส่วนใดส่วนหนึ่งของระบบเหล่านี้ ไฟจะสว่างขึ้นหรือกะพริบ ให้คุณรีบนํารถเข้ากับการตรวจสอบระบบ แม้ว่ารถจะยัง คงขับได้และไม่ต้องลากจูง ไฟนี้ยังสว่างขึ้นเมื่อสวิตช์กุญแจเปลี่ยนเป็น “ON” หรือ โหมดการทํางานอยู่ที่ ON และดับลงหลังจากสตาร์ท เครื่องยนต์แล้ว หากไฟไม่ดับหลังจากเครื่องยนต์สตาร์ท ให้นํารถเข้ารับการตรวจสอบที่ศูนย์บริการมิตซูบิชิที่ได้ รับอนุญาต  ข้อควรระวัง  -การขับรถเป็นระยะเวลานานในขณะที่ไฟนี้ติดอยู่ อาจจะทําให้เกิดความเสียหายขึ้นกับระบบควบคุม ไอเสีย,docs/Text_PDF_.pdf,"['งาน', 'นี้ติด', 'ขับ', 'ควรระวัง', 'หา']"
26,เมื่อติดตั้งอุปกรณ์นิรภัยสําหรับเด็กบนเบาะนั่งผู้โดยสารด้านหน้า ควรตรวจสอบอะไรก่อน?,ควรตรวจสอบการยึดเข็มขัดนิรภัยที่ไหล่อยู่ข้างหน้าปลอกเลื่อนอุปกรณ์นิรภัยสำหรับเด็ก และเลื่อนเบาะนั่งผู้โดยสารด้านหน้าไปข้างหน้า เพื่อป้องกันไม่ให้เบาะนั่งหน้าสัมผัสกับเท้าเด็กและอุปกรณ์นิรภัยสำหรับเด็ก,65,เบาะนั่งและเข็มขัดนิรภัย4-14 คําเตือน -  เมื่อติดตั้งอุปกรณ์นิรภัยสําหรับเด็กบนเบาะนั่งผู้โดยสารด้านหน้า ให้ตรวจยืนยันว่าไฟแสดง OFF ของไฟแสดงถุงลมนิรภัย SRS ด้านผู้โดยสารด้านหน้าติดสว่าง กลุ่ม:ตําแหน่งเบาะนั่งที่เหมาะสมกับเข็มขัดนิรภัยแบบยูนิเวอร์แซล (ได้/ไม่ได้) เปิดการทํางานถุงลมนิรภัย:ไม่ได้ ปิดการทํางานถุงลมนิรภัย*1:ได้*2 กลุ่ม:ตําแหน่งเบาะนั่งที่เหมาะสมกับ i-Size และ ISOFIX (ได้/ไม่ได้),docs/Text_PDF_.pdf,"['งาน', '14', 'นั่งที่', 'โดยสารด้าน', '*2']"
27,ควรทำอย่างไรเมื่อต้องการใช้ด้ามแม่แรง?,"เมื่อต้องการใช้ด้ามแม่แรง คุณควรทำตามขั้นตอนต่อไปนี้:

1. ตรวจสอบว่าจุดขึ้นแม่แรงของรถถูกต้องตามที่กำหนดหรือไม่ และตรวจสอบว่าแม่แรงสัมผัสกับจุดขึ้นแม่แรงของรถอย่างถูกต้อง

2. ยกด้ามแม่แรงขึ้นลงเพื่อยกแท่นขึ้นจนแม่แรงสัมผัสจุดขึ้นแม่แรงของรถ

3. ขึ้นแม่แรงจนกระทั่งล้อพ้นจากพื้นดินเล็กน้อย แต่ไม่ควรขึ้นสูงจนเกินไป เพราะอาจทำให้เกิดอันตรายได้อย่างอยู่ใต้ท้องรถขณะขึ้นแม่แรง

4. อย่าชนรถที่อยู่บนแม่แรงและอย่าทิ้งรถไว้บนแม่แรงเป็นเวลานาน เพราะทำให้เกิดอันตรายได้

5. อย่าใช้แม่แรงอื่นยกเว้นที่ติดมากับรถของคุณ และไม่ควรใช้แม่แรงเพื่อจุดประสงค์อื่นนอกจากการเปลี่ยนยางรถ

6. ไม่ควรมีคนอยู่ในรถขณะขึ้นแม่แรงอย่าสตาร์ทเครื่องยนต์ขณะขึ้นแม่แรง

7. อย่าหมุนล้อที่ยกขึ้นด้วยแม่แรง เพราะล้อข้างที่อยู่ติดพื้นอาจจะหมุน ทำให้รถเลื่อนตกจากแม่แรงได้",315,ให้ส่วนที่เป็นแถบสีดํา (G)ของด้ามแม่แรงตรงกับที่ยึด (F) การใช้ด้ามแม่แรง (เมกะแค็บ) 1. ขณะที่กดสลักล็อก (A) บนด้ามแม่แรงที่มีเครื่องหมายสีดําเอาไว้ ให้ดึงด้ามชั้นใน (B) และถอดออกมา 2. กลับด้านด้ามชั้นใน (B) จากนั้น กดสลักล็อก (C) เอาไว้แล้วเสียบด้ามชั้นในเข้าไปในด้ามชั้นนอก (D)จนกระทั่งสลักล็อกด้ามเอาไว้ดังภาพ 3. ขณะที่กดสลักล็อก (F) บนด้ามที่ต่อแล้ว (E) เอาไว้ให้เสียบด้ามที่มีเครื่องหมายสีขาว (G) เข้าไปจนกระทั่งสลักล็อกด้ามเอาไว้ดังภาพ,docs/Text_PDF_.pdf,"['ไว้ดัง', 'เข้าไป', 'ดึงด้าม', 'เมกะแค็บ', 'สี']"
28,"การเตือน ""Key Battery Low"" จะปรากฏขึ้นบนหน้าจอแสดงข้อมูลรวมเมื่อใด?","การเตือน ""Key Battery Low"" จะปรากฏขึ้นบนหน้าจอแสดงข้อมูลรวมเมื่อแบตเตอรี่ของกุญแจอัจฉริยะเหลือน้อยลงและต้องการเปลี่ยนแบตเตอรี่ใหม่โดยเร็วที่สุด",167,“Key Battery Low” จะปรากฏขึ้น (บนหน้าจอแสดงข้อมูลรวม) แม้ว่ากุญแจอัจฉริยะอยู่ในรถ ถือว่าไม่ผิดปกติ แตะสวิตช์เครื่องยนต์ด้วยกุญแจอัจฉริยะอีกครั้งเพื่อปิดการเตือน ●หากการเตือน “Key Battery Low” ปรากฏขึ้น (บนหน้าจอแสดงข้อมูลรวม) ให้เปลี่ยนแบตเตอรี่ทันที ให้ดูเรื่อง “ขั้นตอนการเปลี่ยนแบตเตอรี่กุญแจ” หน้า 3-6 หมายเหตุ ●หากมีวัตถุโลหะหรือกุญแจอื่นอยู่ใกล้กุญแจอัจฉริยะ อาจตรวจไม่พบกุญแจอัจฉริยะ ●แทนที่จะเหยียบแป้นเบรก ระบบจะสามารถตรวจจับกุญแจอัจฉริยะได้ด้วยวิธีเดิมภายในเวลาประมาณ 30 วินาทีหลังจากกดสวิตช์เครื่องยนต์ ●หากต้องการเปลี่ยนโหมดการทํางานโดยไม่สตาร์ทเครื่องยนต์,docs/Text_PDF_.pdf,"['งาน', 'อื่นอยู่', 'อัจฉริยะได้', 'เปลี่ยนแบตเตอรี่', 'ปรากฏขึ้น']"
29,หน้าจออาจแสดงวัตถุอย่างไรในรถ?,หน้าจอในรถอาจแสดงวัตถุที่อยู่ใกล้หรือไกลกว่าความเป็นจริง โดยเส้นอ้างอิงบนหน้าจอจะแสดงระยะห่างของวัตถุจากตัวรถ ถ้าวัตถุอยู่ใกล้รถ เส้นอ้างอิงบนหน้าจอจะดูเหมือนวัตถุอยู่ใกล้กว่าความเป็นจริง แต่ถ้าวัตถุอยู่ไกลจากตัวรถ เส้นอ้างอิงบนหน้าจอจะดูเหมือนวัตถุอยู่ไกลกว่าความเป็นจริง,276,หน้าจออาจแสดงวัตถุ ไม่ชัดเจน     • เมื่อมีแสงจําส่องเข้าที่กล้องโดยตรง วัตถุอาจปรากฏ ขึ้นไม่ชัดเจน     • หน้าจออาจกะพริบใต้แสงไฟ     • สีของวัตถุบนมอนิเตอร์รอบทิศทางอาจค่อนข้าง แตกต่างจากสีของวัตถุจริง     • วัตถุบนมอนิเตอร์รอบทิศทางอาจไม่ชัดเจนและสีของ  • วัตถุในสภาพแวดล้อมที่มืดอาจแตกต่างกัน     • ความคมชัดระหว่างแต่ละภาพจากกล้องมุมสูงอาจ แตกต่างกัน     • อย่าลงแวกซ์ที่เลนส์กล้อง ให้เช็ดแวกซ์ออกด้วย ผําสะอาดที่ชุบสารทําความสะอาดเจือจางหมาดๆ แล้ว จากนั้น เช็ดออกด้วยผําแห้ง   การบํารุงรักษาระบบ E00659300024   หมายเหตุ,docs/Text_PDF_.pdf,"['อาจไม่', 'มุม', 'E00659300024', 'สี', '']"
30,วิธีการทำความสะอาดหนังเทียมและชิ้นส่วนที่รวมกันคืออะไร?,วิธีการทำความสะอาดหนังเทียมและชิ้นส่วนที่รวมกันคือการใช้ผ้านุ่มหรือหนังชามัวส์ชุบน้ำผสมน้ำยาทำความสะอาดที่เป็นกลางแล้วล้างด้วยน้ำทันที จากนั้นใช้น้ำยาชนิดพิเศษเคลือบผิวหน้าชิ้นส่วนให้ทั่ว และล้างน้ำยาออก หลังจากนั้นให้ใช้ผ้านุ่มหรือหนังชามัวส์เช็ดจนแห้งสนิท,324,หนังเทียม ผํา และชิ้นส่วนที่รวมกันอยู่ 1. เช็ดเบาๆ ด้วยผํานุ่มชุบนํ้าผสมสบู่อ่อนๆ 2. จุ่มผําในนํ้าสะอาดและบิดให้แห้ง จากนั้นจึงนําไปเช็ดนํ้ายาทําความสะอาดออกจนหมด หมายเหตุ  ห้ามใช้นํ้ายาทําความสะอาด นํ้ายาปรับสภาพ และสารเคลือบป้องกันใดๆ ที่มีส่วนผสมของซิลิโคน หรือขี้ผึ้งสารเหล่านี้สามารถทําให้สีหลุดลอก และเมื่อใช้กับแผงคอนโซลหรือชิ้นส่วนอื่นๆ อาจทําให้กระจกมัวและทําลายทัศนวิสัยได้นอกจากนี้หากสารเหล่านี้สัมผัสถูกสวิตช์ของอุปกรณ์ไฟฟ้าต่างๆ ก็อาจทําให้เสียหายได้ อย่าใช้ผําใยสังเคราะห์หรือผําแห้ง เพราะอาจทําให้สีหลุดลอกหรือทําลายพื้นผิวได้ อย่าวางที่ดับกลิ่นบนแผงหน้าป้ด,docs/Text_PDF_.pdf,"['อาจทํา', 'ไปเช็ดนํ้ายาทํา', 'พื้นผิว', 'ขี้ผึ้งสาร', 'หรือผํา']"
31,รถรุ่นที่ติดตั้งหน้าจอ LCD สีเดียวมีคุณสมบัติอะไรบ้าง?,"รถรุ่นที่ติดตั้งหน้าจอ LCD สีเดียวมีคุณสมบัติดังนี้:
- กะพริบ: หน้าจอ LCD สีเดียวสามารถกะพริบได้
- สว่าง (ค้าง): หน้าจอ LCD สีเดียวสามารถแสดงสถานะสว่างได้
- ดับ: หน้าจอ LCD สีเดียวสามารถดับได้

นอกจากนี้ยังมีคุณสมบัติเพิ่มเติมที่เกี่ยวข้องกับการปัดน้ำฝน ซึ่งสถานะการปัดน้ำฝนจะแสดงบนหน้าจอ LCD สีเดียวในหน้าจอแสดงข้อมูลรวม คุณสามารถเปลี่ยนการแสดงผลนี้ได้โดยการใช้คันสวิตช์หรือสวิตช์ (A) และสามารถปิดหรือเปิดการแสดงผลบนหน้าจอได้โดยการตั้งค่าฟังก์ชันบนมาตรวัด นอกจากนี้ยังมีฟังก์ชันการทำงานแบบตอบสนองต่อความเร็วรถของที่ปัดน้ำฝนกระจกหน้า ซึ่งสามารถปิดใช้งานหรือเปลี่ยนฟังก์ชันได้โดยการตั้งค่าฟังก์ชันบนมาตรวัด นอกจากนี้ยังมีฟังก์ชันกำจัดหมอก ซึ่งสามารถเปิดหรือปิดการใช้งานได้โดยการเลื่อนคันสวิตช์ไปตามลูกศรแล้วปล่อย ที่ปัดน้ำฝนจะตอบสนองตามการเปิดหรือปิดฟังก์ชันนี้",206,"[รถรุ่นที่ติดตั้งหน้าจอ LCD สีเดียว] 
: กะพริบ : สว่าง (ค้าง) : ดับ [รถรุ่นที่ติดตั้งหน้าจอ LCD สี]",docs/Text_PDF_.pdf,"['ค้าง', 'สี', 'สี', 'รถรุ่น', 'หน้าจอ']"
32,การฟอกขาวหรือย้อมสีสายเข็มขัดนิรภัยสามารถทำได้หรือไม่?,ไม่ควรฟอกขาวหรือย้อมสีสายเข็มขัดนิรภัย เพราะอาจทำให้เสียหายได้ ระบบถุงลมนิรภัย (SRS) คำแนะนำต่อไปนี้เป็นเรื่องสำคัญที่ควรรู้เกี่ยวกับระบบถุงลมนิรภัย SRS ด้านคนขับและผู้โดยสารด้านหน้า ถุงลมนิรภัย SRS ที่หัวเข่าคนขับ ถุงลมนิรภัย SRS ด้านข้างเบาะหน้า และม่านถุงลมนิรภัย SRS,74,ไม่ควรฟอกขาวหรือย้อมสีสายเข็มขัดนิรภัย เพราะอาจทําให้เสียหายได้ ระบบถุงลมนิรภัย (SRS) คําแนะนําต่อไปนี้เป็นเรื่องสําคัญที่ควรรู้เกี่ยวกับระบบถุงลมนิรภัย SRS ด้านคนขับและผู้โดยสารด้านหน้า ถุงลมนิรภัย SRS ที่หัวเข่าคนขับ ถุงลมนิรภัย SRS ด้านข้างเบาะหน้า และม่านถุงลมนิรภัย SRS,docs/Text_PDF_.pdf,"['อาจทํา', 'รู้', 'โดยสารด้าน', 'ขับ', 'เข่า']"
33,ต้องใช้อุปกรณ์อะไรเพื่อทำความสะอาดเข็มขัดนิรภัย?,ในการทำความสะอาดเข็มขัดนิรภัยคุณสามารถใช้ผ้านุ่มเช่นผ้าโปร่งหรือผ้าชุบสารละลายที่ประกอบด้วยน้ำยาชะล้างที่เป็นกลาง 2.5% ในการเช็ดเข็มขัดนิรภัย คุณยังสามารถใช้ผ้านุ่มอื่นๆ เช่นหนังชามัวส์เพื่อเช็ดจนแห้งสนิท,325,การดูแลทําความสะอาดเข็มขัดนิรภัย 1. ใช้ผํานุ่ม เช่น ผําโปร่ง ชุบสารละลายที่ประกอบด้วยนํ้ายาชะล้างที่เป็นกลาง 2.5% พอเปียกหมาดๆ 2. ค่อยๆ เช็ดเข็มขัดนิรภัยด้วยผํานุ่มเพื่อขจัดสิ่งสกปรกออกหากห่วงยึดมีสิ่งสกปรก ให้เช็ดออกด้วย 3. ล้างผํานุ่มด้วยนํ้าสะอาด บิดให้แห้ง และเช็ดนํ้ายาทําความสะอาดออก 4. ก่อนเก็บเข็มขัดนิรภัยที่ดึงออกมาเพื่อทําความสะอาดตรวจดูให้แน่ใจว่าเข็มขัดนิรภัยแห้งและไม่เปียกชื้น หมายเหตุ  ทําความสะอาดเข็มขัดนิรภัยและห่วงยึดต่างๆ เมื่อมีสิ่งสกปรก หรือเมื่อเข็มขัดนิรภัยรั้งกลับติดขัดการดูแลรักษาความสะอาดภายนอกรถหากสิ่งต่อไปนี้ติดอยู่บนรถของคุณอาจทําให้รถสึกกร่อน,docs/Text_PDF_.pdf,"['ไม่เปียกชื้น', 'อาจทํา', 'บนรถ', 'เปียกหมาด', 'นี้ติด']"
34,เมื่อความเร็วระหว่างรถสองคันต่างกันเล็กน้อย ควรทำอย่างไร?,เมื่อความเร็วระหว่างรถสองคันต่างกันเล็กน้อย คุณควรทำการเผื่อระยะห่างระหว่างรถของคุณกับรถคันข้างหน้าให้มากขึ้น เพื่อลดความเสี่ยงที่จะเกิดการชนกันหรือการเบรกกะทันหัน นอกจากนี้คุณยังควรตรวจสอบสภาพถนนว่ามีน้ำแข็งที่เกาะตัวสะสมอยู่หรือไม่ หากมีน้ำแข็งอาจทำให้ล้อล็อกได้ ดังนั้นคุณควรลดความเร็วอย่างระมัดระวังเมื่อเข้าสู่พื้นที่ที่มีความเสี่ยงสูง และควรตรวจสอบความปลอดภัยโดยรอบก่อนออกรถอีกครั้งหลังจากจอดนิ่ง,240,การเร่งหรือลดความเร็วทันที) ■เมื่อรถและคนเดินถนนอยู่เยี้องจากเส้นทางไปข้างหน้าของรถ ■หากความเร็วระหว่างรถสองคันต่างกันเล็กน้อย ■ประมาณ 15 วินาทีหลังจากสตาร์ทเครื่องยนต์ ■หากรถคันหน้าหรือรถที่ใกล้เข้ามามีรูปทรงเฉพาะหรือผิดปกติมีระยะห่างระหว่างความสูงและตํ่ามาก หรือการบรรทุกสัมภาระผิดปกติหรือแคบ (ตัวอย่างเช่น รถจักรยานยนต์) คําเตือน ■เมื่อรถหรือคนเดินถนนอยู่ใกล้เครื่องหมายจราจร บริเวณที่เกิดการสะท้อน (ตัวอย่างเช่น นํ้าบนถนน) หรืออยู่ในเงา ■เมื่อคนเดินถนนหลายคนรวมตัวกัน ■เมื่อรถหรือวัตถุอื่นๆ ทําให้การมองคนเดินถนนไม่ชัดเจน ■ในขณะลากรถพ่วง ■เมื่อวัตถุเป็นคนเดินถนนในเครื่องแต่งกายสีขาว,docs/Text_PDF_.pdf,"['ต่างกัน', 'เมื่อ', 'ระหว่างรถ', 'ระหว่างความ', 'เยี้อง']"
35,ก่อนที่จะใช้งานการควบคุมกระจกหน้าต่างไฟฟ้าคุณควรตรวจสอบสิ่งใดก่อน?,ก่อนที่จะใช้งานการควบคุมกระจกหน้าต่างไฟฟ้าคุณควรตรวจสอบว่าไม่มีสิ่งใดกีดขวางอยู่ เช่น ศีรษะ มือนิ้ว หรือวัตถุอื่นๆ ในพื้นที่ที่ควบคุมกระจกหน้าต่างไฟฟ้า,48,หน้าต่างประตูแต่ละบานจะเปิดหรือปิดโดยการทํางานของสวิตช์ที่เกี่ยวข้อง1- กระจกหน้าต่างด้านคนขับ2- กระจกหน้าต่างด้านผู้โดยสารด้านหน้า3- กระจกหน้าต่างด้านหลังซ้าย (ดับเบิลแค็บ)4- กระจกหน้าต่างด้านหลังขวา (ดับเบิลแค็บ)5- สวิตช์ล็อก คําเตือน -  ก่อนจะใช้งานการควบคุมกระจกหน้าต่างไฟฟ้าให้ตรวจสอบดูว่าไม่มีสิ่งใดกีดขวางอยู่ (ศีรษะ มือนิ้ว ฯลฯ) -  ก่อนออกจากรถ ควรตรวจว่าได้นํากุญแจออกมาแล้ว -  อย่าทิ้งเด็ก (หรือบุคคลที่ไม่สามารถทําการควบคุมกระจกหน้าต่างไฟฟ้าได้อย่างปลอดภัย) ไว้ในรถตามลําพัง,docs/Text_PDF_.pdf,"['ดับเบิลแค็บ', 'งาน', 'ได้นํากุญแจ', 'ขับ', 'โดยสารด้าน']"
36,แผงหน้าปัดแสดงค่าอะไรบ้างในรถยนต์?,"แผงหน้าปัดแสดงค่าในรถยนต์สามารถแสดงข้อมูลต่างๆได้ เช่น อัตราการสิ้นเปลืองเชื้อเพลิงโดยเฉลี่ย, ความเร็ว, มาตรวัดระยะทาง, มาตรวัดการเดินทาง, แรงดันลมยาง, การทำงานของระบบ AS&G (AutoStop&Go), การทำงานของระบบ 2WD/4WD, การทำงานของระบบ AWC (All Wheel Control), และอื่นๆ อีกมากมาย รายการที่แสดงบนแผงหน้าปัดจะแตกต่างกันไปตามอุปกรณ์ของรถยนต์",89,แผงหน้าปัดและอุปกรณ์ควบคุม 5  แผงหน้าปัด 5-2  แผงหน้าปัด แผงหน้าปัด E00500103343 1- มาตรวัดรอบเครื่องยนต์ มาตรวัดรอบเครื่องยนต์จะแสดงความเร็วเครื่องยนต์ เป็นรอบต่อนาที (r/min) ซึ่งสามารถช่วยให้คุณขับขี่ อย่างประหยัด รวมทั้งเตือนว่าอย่าให้รอบเครื่องยนต์ สูงเกินไป (แถบสีแดง  2- หน้าจอแสดงข้อมูลรวม (แบบที่ 1: แบบ LCD สี) -> หน้า 5-3  รายการตัวแสดงบนหน้าจอแสดงข้อมูล (แบบที่ 1) -> หน้า 5-24  หน้าจอแสดงข้อมูลรวม (แบบที่ 2: แบบ LCD สีเดียว) -> หน้า 5-16  3- มาตรวัดความเร็วรถยนต์ (กม./ชม.)  4- เกจวัดอุณหภูมินํ้าหล่อเย็นเครื่องยนต์ (แบบที่ 1) -> หน้า 5-3  5- เกจวัดระดับนํ้ามันเชื้อเพลิง (แบบที่ 1) ->,docs/Text_PDF_.pdf,"['rmin', 'ชม.', 'E00500103343', 'อย่าให้', 'รายการตัว']"
37,แผงหน้าปัดและอุปกรณ์ควบคุมแสดงข้อมูลอะไรบ้างในแบบที่ 1?,"ในแผงหน้าปัดและอุปกรณ์ควบคุมแบบที่ 1 มีหน้าจอแสดงข้อมูลรวมทั้งหมด 5 หน้าจอ ซึ่งแสดงข้อมูลรายการต่างๆ ดังนี้:
1. มาตรวัดความเร็ว
2. การตั้งค่ารถ
3. ข้อมูลคอมพิวเตอร์การเดินทาง
4. การช่วยเหลือผู้ขับขี่
5. ข้อมูลระบบควบคุมความเร็วคงที่
6. ข้อมูลการทํางานของกุญแจอัจฉริยะ
7. ข้อมูลเครื่องเสียง
8. การนําทางแบบเลี้ยวต่อเลี้ยว
9. ไฟแสดงและการเตือน
10. ข้อมูลอื่นๆ

คุณสามารถเปลี่ยนหน้าจอแสดงข้อมูลรวมได้โดยใช้แป้นเลื่อน แบบปุ๋มที่อยู่บนพวงมาลัย 1-แป้นเลื่อน, 2-กลับไปที่เมนูก่อนหน้า, 3-เปลี่ยนจากหน้าจอแสดงหนึ่งไปยังหน้าจอถัดไป",99,แผงหน้าปัดและอุปกรณ์ควบคุม 5  หน้าจอแสดงข้อมูลรวม - แบบที่ 1 5-11  kPa: 200  psi: 29  bar: 2.0  kgf/cm²: 2.0 kPa: 210  psi: 30  bar: 2.1  kgf/cm²: 2.1 kPa: 220  psi: 32  bar: 2.2  kgf/cm²: 2.2 kPa: 230  psi: 33  bar: 2.3  kgf/cm²: 2.3 kPa: 240  psi: 35  bar: 2.4  kgf/cm²: 2.4 kPa: 250  psi: 36  bar: 2.5  kgf/cm²: 2.5 kPa: 260  psi: 38  bar: 2.6  kgf/cm²: 2.6 kPa: 270  psi: 39  bar: 2.7  kgf/cm²: 2.7 kPa: 280  psi: 41  bar: 2.8  kgf/cm²: 2.8 kPa: 290  psi: 42  bar: 2.9  kgf/cm²: 2.9 kPa: 300  psi: 44  bar: 3.0  kgf/cm²: 3.0 kPa: 310  psi: 45  bar: 3.1  kgf/cm²: 3.1 kPa: 320  psi: 46  bar: 3.2,docs/Text_PDF_.pdf,"['230', '210', 'kPa', 'หน้าจอ', '260']"
38,เมื่อความเร็วของรถถึงระดับเกียร์ 5180 กม./ชม. ควรทำอย่างไรเพื่อประหยัดน้ำมันสูงสุด?,"เพื่อประหยัดน้ำมันสูงสุดเมื่อความเร็วของรถถึงระดับเกียร์ 5180 กม./ชม., คุณควรใช้เกียร์ 6 ในการขับรถ นี่เป็นเกียร์ที่ช่วยให้รถเคลื่อนที่อย่างประหยัดน้ำมันมากที่สุดในสภาวะนี้",180,เพื่อประหยัดนํ้ามันสูงสุด ให้ใช้เกียร์ 6 เมื่อความเร็วของรถถึงระดับ เกียร์ 5180 กม./ชม.,docs/Text_PDF_.pdf,"['', 'เกียร์', 'ประหยัดนํ้ามัน', 'ระดับ', 'ประหยัดนํ้า']"
